internship_id,title,company,description,required_skills,preferred_skills,location,duration,stipend,min_cgpa,experience_required,domain
INT001,Frontend Developer,DigitalForce,Exciting internship opportunity for Machine Learning Engineer at Tech Corp. Work on cutting-edge projects and gain valuable industry experience.,"['TensorFlow', 'Agile', 'Project Management']",['Flask'],Delhi,2 months,5000,7.0,Advanced,Electronics
INT002,Backend Developer,AI Solutions,Exciting internship opportunity for DevOps Engineer at DataFlow Inc. Work on cutting-edge projects and gain valuable industry experience.,"['Problem Solving', 'Computer Vision', 'Java', 'Graphic Design', 'MongoDB']",['Teamwork'],Delhi,2 months,10000,7.5,Intermediate,Information Technology
INT003,Data Scientist,Tech Corp,Exciting internship opportunity for Data Scientist at InnovateX. Work on cutting-edge projects and gain valuable industry experience.,"['Communication', 'PyTorch', 'Scrum']",['Leadership'],Chennai,2 months,12000,6.0,Intermediate,Any
INT004,Data Scientist,DigitalForce,Exciting internship opportunity for Software Developer at StartupHub. Work on cutting-edge projects and gain valuable industry experience.,"['GCP', 'MongoDB', 'Project Management']","['TensorFlow', 'C++']",Bangalore,2 months,8000,8.0,Intermediate,Information Technology
INT005,Backend Developer,InnovateX,Exciting internship opportunity for Frontend Developer at WebCraft. Work on cutting-edge projects and gain valuable industry experience.,"['SQL', 'Matplotlib', 'Flask', 'Graphic Design', 'Content Writing', 'Leadership']",['Adobe Creative Suite'],Bangalore,6 months,8000,8.0,Intermediate,Information Technology
INT006,Full Stack Developer,DigitalForce,Exciting internship opportunity for Data Scientist at DataFlow Inc. Work on cutting-edge projects and gain valuable industry experience.,"['Python', 'Communication', 'Problem Solving', 'Critical Thinking', 'GCP']",['Content Writing'],Delhi,6 months,5000,7.5,Advanced,Any
INT007,Software Developer,WebCraft,Exciting internship opportunity for Full Stack Developer at InnovateX. Work on cutting-edge projects and gain valuable industry experience.,"['Git', 'CSS']","['Figma', 'PyTorch']",Mumbai,6 months,20000,6.5,Intermediate,Any
INT008,Machine Learning Engineer,DataFlow Inc,Exciting internship opportunity for Machine Learning Engineer at AI Solutions. Work on cutting-edge projects and gain valuable industry experience.,"['SQL', 'CSS', 'Figma', 'Artificial Intelligence']","['Git', 'JavaScript']",Remote,2 months,20000,7.0,Advanced,Data Science
INT009,DevOps Engineer,CloudTech,Exciting internship opportunity for DevOps Engineer at CloudTech. Work on cutting-edge projects and gain valuable industry experience.,"['SQL', 'Scikit-learn', 'Graphic Design', 'Kubernetes', 'Matplotlib']",['Critical Thinking'],Hyderabad,2 months,8000,6.0,Intermediate,Information Technology
INT010,Full Stack Developer,CloudTech,Exciting internship opportunity for Backend Developer at Tech Corp. Work on cutting-edge projects and gain valuable industry experience.,"['UI/UX Design', 'Java']","['JavaScript', 'Figma', 'Scrum']",Bangalore,3 months,5000,6.0,Beginner,Any
INT011,Backend Developer,CloudTech,Exciting internship opportunity for Machine Learning Engineer at AI Solutions. Work on cutting-edge projects and gain valuable industry experience.,"['Agile', 'Project Management', 'Computer Vision', 'Kubernetes', 'Machine Learning', 'SQL']","['Critical Thinking', 'MySQL']",Mumbai,2 months,8000,6.5,Advanced,Computer Science
INT012,Data Scientist,Tech Corp,Exciting internship opportunity for Machine Learning Engineer at InnovateX. Work on cutting-edge projects and gain valuable industry experience.,"['Windows', 'Deep Learning', 'TensorFlow', 'Pandas']",['CSS'],Remote,6 months,5000,6.5,Advanced,Electronics
INT013,Full Stack Developer,InnovateX,Exciting internship opportunity for Full Stack Developer at StartupHub. Work on cutting-edge projects and gain valuable industry experience.,"['PostgreSQL', 'Teamwork', 'Critical Thinking', 'Graphic Design']","['Kubernetes', 'Git', 'Social Media Marketing']",Remote,2 months,10000,7.0,Beginner,Data Science
INT014,Software Developer,InnovateX,Exciting internship opportunity for Machine Learning Engineer at DataFlow Inc. Work on cutting-edge projects and gain valuable industry experience.,"['CSS', 'Figma', 'MongoDB', 'Matplotlib']",['Pandas'],Hyderabad,6 months,10000,8.0,Beginner,Any
INT015,Machine Learning Engineer,DigitalForce,Exciting internship opportunity for Software Developer at DigitalForce. Work on cutting-edge projects and gain valuable industry experience.,"['Deep Learning', 'Natural Language Processing', 'FastAPI', 'JavaScript', 'Project Management', 'Leadership']","['Django', 'Problem Solving']",Delhi,6 months,5000,7.5,Beginner,Electronics
INT016,Data Scientist,DigitalForce,Exciting internship opportunity for AI Research Intern at WebCraft. Work on cutting-edge projects and gain valuable industry experience.,"['Pandas', 'React', 'MySQL', 'AWS']","['JavaScript', 'Deep Learning']",Remote,6 months,5000,7.5,Advanced,Electronics
INT017,DevOps Engineer,StartupHub,Exciting internship opportunity for Full Stack Developer at CloudTech. Work on cutting-edge projects and gain valuable industry experience.,"['Problem Solving', 'Kubernetes', 'Docker', 'Critical Thinking', 'Machine Learning', 'Pandas']","['NumPy', 'SQL', 'Research']",Bangalore,6 months,10000,6.0,Intermediate,Any
INT018,Backend Developer,CloudTech,Exciting internship opportunity for Data Scientist at WebCraft. Work on cutting-edge projects and gain valuable industry experience.,"['PostgreSQL', 'Java']",['Agile'],Delhi,3 months,10000,7.0,Intermediate,AI/ML
INT019,Full Stack Developer,DigitalForce,Exciting internship opportunity for Backend Developer at CloudTech. Work on cutting-edge projects and gain valuable industry experience.,"['Data Science', 'Leadership', 'FastAPI']","['UI/UX Design', 'Computer Vision']",Hyderabad,2 months,5000,7.5,Advanced,Data Science
INT020,Backend Developer,AI Solutions,Exciting internship opportunity for Software Developer at DigitalForce. Work on cutting-edge projects and gain valuable industry experience.,"['Adobe Creative Suite', 'HTML']","['Django', 'Artificial Intelligence', 'Data Science']",Hyderabad,6 months,5000,6.0,Intermediate,Data Science
INT021,Frontend Developer,InnovateX,Exciting internship opportunity for Frontend Developer at AI Solutions. Work on cutting-edge projects and gain valuable industry experience.,"['C++', 'Computer Vision', 'JavaScript']","['NumPy', 'Agile', 'CSS']",Hyderabad,6 months,12000,7.0,Beginner,Data Science
INT022,Machine Learning Engineer,CloudTech,Exciting internship opportunity for Frontend Developer at DataFlow Inc. Work on cutting-edge projects and gain valuable industry experience.,"['React', 'TensorFlow', 'Figma', 'Kubernetes']",['Pandas'],Pune,2 months,15000,8.0,Beginner,AI/ML
INT023,Software Developer,CloudTech,Exciting internship opportunity for Frontend Developer at CloudTech. Work on cutting-edge projects and gain valuable industry experience.,"['Data Science', 'Scrum']",['AWS'],Remote,6 months,5000,6.0,Advanced,Electronics
INT024,AI Research Intern,WebCraft,Exciting internship opportunity for Software Developer at Tech Corp. Work on cutting-edge projects and gain valuable industry experience.,"['C++', 'JavaScript', 'Django', 'PostgreSQL', 'Python', 'Teamwork']",['HTML'],Delhi,3 months,20000,8.0,Beginner,Data Science
INT025,Data Scientist,CloudTech,Exciting internship opportunity for Full Stack Developer at InnovateX. Work on cutting-edge projects and gain valuable industry experience.,"['Azure', 'NumPy', 'Data Science', 'Content Writing', 'Problem Solving']","['Flask', 'Docker', 'Node.js']",Hyderabad,2 months,15000,8.0,Advanced,Computer Science
INT026,Full Stack Developer,DataFlow Inc,Exciting internship opportunity for Software Developer at InnovateX. Work on cutting-edge projects and gain valuable industry experience.,"['Scikit-learn', 'Django', 'Project Management']","['Pandas', 'Leadership', 'FastAPI']",Hyderabad,6 months,5000,7.0,Advanced,Information Technology
INT027,AI Research Intern,StartupHub,Exciting internship opportunity for Full Stack Developer at WebCraft. Work on cutting-edge projects and gain valuable industry experience.,"['PostgreSQL', 'Node.js', 'MongoDB', 'TensorFlow', 'Scrum']","['Windows', 'Project Management']",Hyderabad,2 months,15000,7.5,Advanced,Computer Science
INT028,AI Research Intern,AI Solutions,Exciting internship opportunity for AI Research Intern at CloudTech. Work on cutting-edge projects and gain valuable industry experience.,"['Java', 'PyTorch', 'Data Science', 'Flask', 'Matplotlib', 'C++']","['Research', 'UI/UX Design', 'Machine Learning']",Pune,2 months,10000,8.0,Intermediate,Information Technology
INT029,DevOps Engineer,AI Solutions,Exciting internship opportunity for Data Scientist at InnovateX. Work on cutting-edge projects and gain valuable industry experience.,"['PyTorch', 'Flask', 'Java', 'UI/UX Design']",['TensorFlow'],Mumbai,2 months,8000,6.5,Advanced,AI/ML
INT030,AI Research Intern,DigitalForce,Exciting internship opportunity for Software Developer at StartupHub. Work on cutting-edge projects and gain valuable industry experience.,"['SQL', 'Azure', 'Artificial Intelligence', 'HTML']","['React', 'Pandas', 'Computer Vision']",Remote,6 months,8000,7.0,Beginner,Information Technology
INT031,Data Scientist,AI Solutions,Exciting internship opportunity for DevOps Engineer at InnovateX. Work on cutting-edge projects and gain valuable industry experience.,"['Computer Vision', 'Artificial Intelligence', 'Machine Learning']",['Deep Learning'],Mumbai,2 months,5000,7.5,Beginner,Information Technology
INT032,Frontend Developer,DigitalForce,Exciting internship opportunity for Data Scientist at CloudTech. Work on cutting-edge projects and gain valuable industry experience.,"['JavaScript', 'Python', 'React', 'Git', 'MySQL']","['HTML', 'PyTorch']",Delhi,3 months,15000,6.0,Beginner,Information Technology
INT033,Backend Developer,DataFlow Inc,Exciting internship opportunity for Full Stack Developer at CloudTech. Work on cutting-edge projects and gain valuable industry experience.,"['Data Science', 'Figma', 'Project Management', 'Graphic Design', 'TensorFlow']",['Git'],Bangalore,6 months,10000,7.5,Advanced,Computer Science
INT034,DevOps Engineer,CloudTech,Exciting internship opportunity for Backend Developer at InnovateX. Work on cutting-edge projects and gain valuable industry experience.,"['Graphic Design', 'Kubernetes', 'Artificial Intelligence', 'Computer Vision', 'Project Management']",['UI/UX Design'],Remote,2 months,5000,7.0,Intermediate,Computer Science
INT035,AI Research Intern,DigitalForce,Exciting internship opportunity for Full Stack Developer at CloudTech. Work on cutting-edge projects and gain valuable industry experience.,"['AWS', 'JavaScript', 'Leadership']","['Matplotlib', 'MongoDB', 'Kubernetes']",Delhi,3 months,10000,8.0,Intermediate,Data Science
INT036,Data Scientist,InnovateX,Exciting internship opportunity for AI Research Intern at StartupHub. Work on cutting-edge projects and gain valuable industry experience.,"['TensorFlow', 'Digital Marketing', 'JavaScript', 'Research', 'Critical Thinking', 'Content Writing']","['MongoDB', 'Data Science', 'Project Management']",Delhi,3 months,20000,7.5,Advanced,Electronics
INT037,Data Scientist,InnovateX,Exciting internship opportunity for Machine Learning Engineer at CloudTech. Work on cutting-edge projects and gain valuable industry experience.,"['Communication', 'Teamwork']","['TensorFlow', 'Git', 'Django']",Pune,3 months,20000,6.0,Advanced,Computer Science
INT038,DevOps Engineer,Tech Corp,Exciting internship opportunity for Machine Learning Engineer at InnovateX. Work on cutting-edge projects and gain valuable industry experience.,"['Python', 'Leadership', 'Graphic Design']","['NumPy', 'Figma', 'Azure']",Mumbai,6 months,10000,7.0,Beginner,Information Technology
INT039,Backend Developer,Tech Corp,Exciting internship opportunity for Frontend Developer at WebCraft. Work on cutting-edge projects and gain valuable industry experience.,"['Natural Language Processing', 'Deep Learning', 'Python', 'Leadership', 'Critical Thinking']",['Pandas'],Hyderabad,3 months,5000,7.0,Advanced,Information Technology
INT040,Backend Developer,StartupHub,Exciting internship opportunity for Data Scientist at DataFlow Inc. Work on cutting-edge projects and gain valuable industry experience.,"['Flask', 'MySQL', 'Scrum']","['Azure', 'Git']",Delhi,2 months,15000,8.0,Advanced,Computer Science
INT041,Frontend Developer,CloudTech,Exciting internship opportunity for Data Scientist at CloudTech. Work on cutting-edge projects and gain valuable industry experience.,"['Data Science', 'Git', 'C++']",['Deep Learning'],Chennai,3 months,15000,6.5,Intermediate,Data Science
INT042,Software Developer,DigitalForce,Exciting internship opportunity for Machine Learning Engineer at CloudTech. Work on cutting-edge projects and gain valuable industry experience.,"['Flask', 'FastAPI', 'Figma', 'Kubernetes']","['Data Analysis', 'SQL', 'TensorFlow']",Mumbai,3 months,10000,6.0,Intermediate,Any
INT043,Frontend Developer,Tech Corp,Exciting internship opportunity for Software Developer at CloudTech. Work on cutting-edge projects and gain valuable industry experience.,"['Digital Marketing', 'Azure', 'TensorFlow']","['Agile', 'SQL', 'C++']",Pune,2 months,20000,8.0,Intermediate,Any
INT044,Backend Developer,DataFlow Inc,Exciting internship opportunity for Data Scientist at DigitalForce. Work on cutting-edge projects and gain valuable industry experience.,"['Linux', 'MongoDB', 'PyTorch', 'Critical Thinking', 'Problem Solving']",['GCP'],Remote,2 months,15000,6.5,Advanced,Information Technology
INT045,Backend Developer,DigitalForce,Exciting internship opportunity for Backend Developer at CloudTech. Work on cutting-edge projects and gain valuable industry experience.,"['Windows', 'TensorFlow', 'Django', 'Azure']","['FastAPI', 'Artificial Intelligence', 'Natural Language Processing']",Mumbai,2 months,8000,6.0,Beginner,Any
INT046,AI Research Intern,DigitalForce,Exciting internship opportunity for DevOps Engineer at DigitalForce. Work on cutting-edge projects and gain valuable industry experience.,"['AWS', 'Leadership', 'TensorFlow', 'JavaScript', 'FastAPI']",['PostgreSQL'],Delhi,3 months,5000,7.5,Beginner,Computer Science
INT047,Machine Learning Engineer,InnovateX,Exciting internship opportunity for Machine Learning Engineer at AI Solutions. Work on cutting-edge projects and gain valuable industry experience.,"['MongoDB', 'PostgreSQL']","['Graphic Design', 'AWS']",Delhi,6 months,10000,7.5,Beginner,Data Science
INT048,Frontend Developer,Tech Corp,Exciting internship opportunity for Frontend Developer at Tech Corp. Work on cutting-edge projects and gain valuable industry experience.,"['PyTorch', 'Kubernetes', 'SQL', 'Python', 'JavaScript', 'Data Science']",['Git'],Remote,6 months,5000,8.0,Beginner,Electronics
INT049,Machine Learning Engineer,InnovateX,Exciting internship opportunity for AI Research Intern at DataFlow Inc. Work on cutting-edge projects and gain valuable industry experience.,"['Problem Solving', 'Node.js']","['Teamwork', 'Computer Vision', 'C++']",Bangalore,3 months,20000,7.5,Advanced,Any
INT050,AI Research Intern,WebCraft,Exciting internship opportunity for Backend Developer at DigitalForce. Work on cutting-edge projects and gain valuable industry experience.,"['Linux', 'Digital Marketing', 'Docker', 'Communication', 'Problem Solving', 'AWS']",['React'],Bangalore,3 months,8000,6.5,Intermediate,Information Technology
